Tower,wind_var,Lat,Lon,org_path,gf_path,z1,z2,z3,top_lev,veg_h,d,z_son
PFA,WLEF,45.9459,-90.2723,../Inputs/US-PFa_HR_201901010000_202001010000.csv,,30,0,0,30,20,13.3,30
PFb,w_30m_nw1,45.972,-90.3232,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFb_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFb_20210715_686681864/output.txt,33.3,11.7,2,30,25,16.7,32.9
PFc,w_10m_nw2,45.9677,-90.3088,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFc_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFc_no_reichstein_20210715_338038846/output.txt,10.8,2,0,10,3,2,10.7
PFd,w_2m_nw3,45.9689,-90.301,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFd_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFd_20210715_461314492/output.txt,2,0,0,2,0.3,0.2,3.4
PFe,w_30m_nw4,45.9793,-90.3004,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFe_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFe_20210715_759129100/output.txt,32.7,16.5,2,30,20.1,13.4,32.3
PFg,w_30m_ne1,45.9735,-90.2723,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFg_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFg_20210715_760864787/output.txt,33.4,11.9,2,30,33.2,22.1,32.9
PFh,w_30m_ne2,45.9557,-90.2406,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFh_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFh_20210715_715625877/output.txt,33.3,11.7,2,30,19.2,12.8,32.8
PFi,w_30m_ne3,45.9749,-90.2327,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFi_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFi_20210715_521926184/output.txt,33.5,12.1,2,30,18.3,12.2,32.9
PFj,w_30m_ne4,45.9619,-90.227,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFj_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFj_20210715_791171858/output.txt,32.5,11.5,2,30,18.3,12.2,32.2
PFk,w_30m_sw1,45.9149,-90.3425,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFk_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFk_20210715_370006063/output.txt,33.5,12,2,30,24.4,16.3,33
PFl,w_25m_sw2,45.9409,-90.3177,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFl_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFL_20210715_64265724/output.txt,28.5,11.9,2,30,19.2,12.8,28.5
PFm,w_30m_sw3,45.9207,-90.3099,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFm_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFm_20210715_426732606/output.txt,32.7,11.3,2,30,15,10,32.3
PFn,w_30m_sw4,45.9392,-90.2823,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFn_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFn_20210715_396063093/output.txt,32.4,11.3,2,30,25.9,17.3,32
