Tower,alt_name,wind_var,Lat,Lon,org_path,gf_path,z1,z2,z3,veg_h,d,z_son,x_m,y_m,,z1,z2,z3,z_map
PFA,WLEF,WLEF,45.9459,-90.2723,../Misc_data/US-PFa_HR_201901010000_202001010000.csv,,30,0,0,20,13.3,30,,,,30,0,0,
PFb,nw1,w_30m_nw1,45.972,-90.3232,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFb_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFb_20210715_686681864/output.txt,33.3,11.7,2,25,16.7,32.9,707381.5,5094422.3,,30,10,2,32
PFc,nw2,w_10m_nw2,45.9677,-90.3088,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFc_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFc_no_reichstein_20210715_338038846/output.txt,10.8,2,0,3,2,10.7,708510.4,5093978,,10,2,0,12
PFd,nw3,w_2m_nw3,45.9689,-90.301,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFd_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFd_20210715_461314492/output.txt,2,0,0,0.3,0.2,3.4,709104.2,5094126.4,,2,0,0,3
PFe,nw4,w_30m_nw4,45.9793,-90.3004,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFe_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFe_20210715_759129100/output.txt,32.7,16.5,2,20.1,13.4,32.3,709094.4,5095285.9,,30,10,2,32
PFg,ne1,w_30m_ne1,45.9735,-90.2723,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFg_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFg_20210715_760864787/output.txt,33.4,11.9,2,33.2,22.1,32.9,711211.9,5094676.9,,30,10,2,32
PFh,ne2,w_30m_ne2,45.9557,-90.2406,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFh_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFh_20210715_715625877/output.txt,33.3,11.7,2,19.2,12.8,32.8,713830.3,5092836.9,,30,10,2,32
PFi,ne3,w_30m_ne3,45.9749,-90.2327,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFi_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFi_20210715_521926184/output.txt,33.5,12.1,2,18.3,12.2,32.9,714346.8,5094991.7,,30,10,2,32
PFj,ne4,w_30m_ne4,45.9619,-90.227,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFj_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFj_20210715_791171858/output.txt,32.5,11.5,2,18.3,12.2,32.2,714865,5093553.4,,30,10,2,32
PFk,sw1,w_30m_sw1,45.9149,-90.3425,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/Ameriflux/US-PFk_HH_201906010000_201911010000.csv,http://co2.aos.wisc.edu/data/CHEESEHEAD-incoming/gapfilled/REddyProc_v2/REddyResults_US-PFk_20210715_370006063/output.txt,33.5,12,2,24.4,16.3,33,706088.6,5088015.2,,30,10,2,32
