case,grad_method,interp_dist,interp_dir,interp_kernel,stability
1,interp,10,updown,thin_plate_spline,Benoit
2,interp,100,updown,thin_plate_spline,Benoit
3,interp,500,updown,thin_plate_spline,Benoit
4,interp,1000,updown,thin_plate_spline,Benoit
5,interp,5000,updown,thin_plate_spline,Benoit
6,interp,10,NSEW,thin_plate_spline,Benoit
7,interp,100,NSEW,thin_plate_spline,Benoit
8,interp,500,NSEW,thin_plate_spline,Benoit
9,interp,1000,NSEW,thin_plate_spline,Benoit
10,interp,5000,NSEW,thin_plate_spline,Benoit
11,interp,10,updown,linear,Benoit
12,interp,100,updown,linear,Benoit
13,interp,500,updown,linear,Benoit
14,interp,1000,updown,linear,Benoit
15,interp,5000,updown,linear,Benoit
16,interp,10,NSEW,linear,Benoit
17,interp,100,NSEW,linear,Benoit
18,interp,500,NSEW,linear,Benoit
19,interp,1000,NSEW,linear,Benoit
20,interp,5000,NSEW,linear,Benoit
21,interp,10,updown,cubic,Benoit
22,interp,100,updown,cubic,Benoit
23,interp,500,updown,cubic,Benoit
24,interp,1000,updown,cubic,Benoit
25,interp,5000,updown,cubic,Benoit
26,interp,10,NSEW,cubic,Benoit
27,interp,100,NSEW,cubic,Benoit
28,interp,500,NSEW,cubic,Benoit
29,interp,1000,NSEW,cubic,Benoit
30,interp,5000,NSEW,cubic,Benoit
31,interp,10,updown,quintic,Benoit
32,interp,100,updown,quintic,Benoit
33,interp,500,updown,quintic,Benoit
34,interp,1000,updown,quintic,Benoit
35,interp,5000,updown,quintic,Benoit
36,interp,10,NSEW,quintic,Benoit
37,interp,100,NSEW,quintic,Benoit
38,interp,500,NSEW,quintic,Benoit
39,interp,1000,NSEW,quintic,Benoit
40,interp,5000,NSEW,quintic,Benoit
41,interp,10,updown,multiquadric,Benoit
42,interp,100,updown,multiquadric,Benoit
43,interp,500,updown,multiquadric,Benoit
44,interp,1000,updown,multiquadric,Benoit
45,interp,5000,updown,multiquadric,Benoit
46,interp,10,NSEW,multiquadric,Benoit
47,interp,100,NSEW,multiquadric,Benoit
48,interp,500,NSEW,multiquadric,Benoit
49,interp,1000,NSEW,multiquadric,Benoit
50,interp,5000,NSEW,multiquadric,Benoit
51,interp,10,updown,thin_plate_spline,None
52,interp,100,updown,thin_plate_spline,None
53,interp,500,updown,thin_plate_spline,None
54,interp,1000,updown,thin_plate_spline,None
55,interp,5000,updown,thin_plate_spline,None
56,interp,10,NSEW,thin_plate_spline,None
57,interp,100,NSEW,thin_plate_spline,None
58,interp,500,NSEW,thin_plate_spline,None
59,interp,1000,NSEW,thin_plate_spline,None
60,interp,5000,NSEW,thin_plate_spline,None
61,interp,10,updown,linear,None
62,interp,100,updown,linear,None
63,interp,500,updown,linear,None
64,interp,1000,updown,linear,None
65,interp,5000,updown,linear,None
66,interp,10,NSEW,linear,None
67,interp,100,NSEW,linear,None
68,interp,500,NSEW,linear,None
69,interp,1000,NSEW,linear,None
70,interp,5000,NSEW,linear,None
71,interp,10,updown,cubic,None
72,interp,100,updown,cubic,None
73,interp,500,updown,cubic,None
74,interp,1000,updown,cubic,None
75,interp,5000,updown,cubic,None
76,interp,10,NSEW,cubic,None
77,interp,100,NSEW,cubic,None
78,interp,500,NSEW,cubic,None
79,interp,1000,NSEW,cubic,None
80,interp,5000,NSEW,cubic,None
81,interp,10,updown,quintic,None
82,interp,100,updown,quintic,None
83,interp,500,updown,quintic,None
84,interp,1000,updown,quintic,None
85,interp,5000,updown,quintic,None
86,interp,10,NSEW,quintic,None
87,interp,100,NSEW,quintic,None
88,interp,500,NSEW,quintic,None
89,interp,1000,NSEW,quintic,None
90,interp,5000,NSEW,quintic,None
91,interp,10,updown,multiquadric,None
92,interp,100,updown,multiquadric,None
93,interp,500,updown,multiquadric,None
94,interp,1000,updown,multiquadric,None
95,interp,5000,updown,multiquadric,None
96,interp,10,NSEW,multiquadric,None
97,interp,100,NSEW,multiquadric,None
98,interp,500,NSEW,multiquadric,None
99,interp,1000,NSEW,multiquadric,None
100,interp,5000,NSEW,multiquadric,None
101,gradavg,None,None,None,None
102,gradavg,None,None,None,None
