case,grad_method,interp_dist,interp_dir,interp_kernel,stability
A,interp,1000,updown,thin_plate_spline,None
B,interp,1000,updown,thin_plate_spline,Benoit
C,interp,1000,NSEW,thin_plate_spline,None
D,interp,10,updown,thin_plate_spline,None
E,interp,100,updown,thin_plate_spline,None
F,interp,500,updown,thin_plate_spline,None
G,interp,5000,updown,thin_plate_spline,None
H,interp,1000,updown,linear,None
I,interp,1000,updown,cubic,None
J,interp,1000,updown,quintic,None
K,interp,1000,updown,multiquadric,None
L,gradavg,None,None,None,None
